sep=,
DeviceTag:,Xsens_DOT_4
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-04-09_10:53:16_000 CEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,1850748209,-33.27930831909180,-87.35655212402344,83.50323486328125,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,1850764876,-33.02136993408203,-87.35810852050781,83.25062561035156,9.75037860870361,-0.23061293363571,0.76697599887848,0.28439700603485,0.07319469749928,-1.69160366058350
2,1850781543,-32.68790435791016,-87.35751342773438,82.93260192871094,9.79570007324219,-0.18395221233368,0.74641221761703,0.95430350303650,0.25916206836700,-1.78478860855103
3,1850798210,-32.34064102172852,-87.35728454589844,82.59259033203125,9.78540134429932,-0.15347099304199,0.70568674802780,0.49565696716309,0.28076636791229,-1.84468412399292
4,1850814877,-32.02529144287109,-87.35936737060547,82.27362823486328,9.74132633209229,-0.16548909246922,0.75906401872635,-0.21227163076401,0.13541433215141,-1.87160313129425
5,1850831544,-31.74657630920410,-87.36322021484375,82.00636291503906,9.77132034301758,-0.24765843153000,0.79455024003983,0.44238251447678,-0.03672220185399,-1.81953251361847
6,1850848211,-31.45709609985352,-87.36537170410156,81.75022888183594,9.79989624023438,-0.17091165482998,0.71803557872772,1.87205779552460,0.02809713408351,-1.73813533782959
7,1850864878,-31.19552993774414,-87.36849212646484,81.48456573486328,9.76015663146973,-0.07564814388752,0.68986725807190,-0.13577933609486,-0.01118634734303,-1.77848827838898
8,1850881545,-30.99194526672363,-87.37244415283203,81.24773406982422,9.74996662139893,-0.16253583133221,0.75331884622574,-2.01704478263855,-0.08965084701777,-1.73931360244751
9,1850898212,-30.76703071594238,-87.37356567382812,81.01499176025391,9.77200031280518,-0.23692975938320,0.76373946666718,-0.44799813628197,0.04270917922258,-1.64349651336670
10,1850914879,-30.53353500366211,-87.37341308593750,80.78733825683594,9.76953792572021,-0.16086693108082,0.72514569759369,0.33737048506737,0.09156540036201,-1.60208070278168
11,1850931546,-30.32662391662598,-87.37400817871094,80.57019805908203,9.77188777923584,-0.12484488636255,0.72310429811478,-0.57178425788879,0.03713841363788,-1.59916090965271
12,1850948213,-30.16144371032715,-87.37803649902344,80.37709045410156,9.75204372406006,-0.15957267582417,0.79320973157883,-1.59667646884918,-0.18256092071533,-1.64764583110809
13,1850964880,-29.98566055297852,-87.38378906250000,80.19871520996094,9.76781082153320,-0.22637110948563,0.79952418804169,-0.29964935779572,-0.27422875165939,-1.66305172443390
14,1850981547,-29.82665061950684,-87.39090728759766,80.05600738525391,9.79531764984131,-0.19618268311024,0.73908525705338,1.00131571292877,-0.39326378703117,-1.60843265056610
15,1850998214,-29.65465736389160,-87.39751434326172,79.90325927734375,9.78461360931396,-0.14155787229538,0.72601813077927,1.14986932277679,-0.33906731009483,-1.60927784442902
16,1851014881,-29.47572898864746,-87.40595245361328,79.73583221435547,9.77678108215332,-0.15383309125900,0.75600719451904,0.65974467992783,-0.44510388374329,-1.71788859367371
17,1851031548,-29.31488800048828,-87.41699981689453,79.57345581054688,9.74983501434326,-0.19090779125690,0.75181728601456,0.16116788983345,-0.56837767362595,-1.75355398654938
18,1851048215,-29.20424652099609,-87.42998504638672,79.48617553710938,9.75610542297363,-0.20190690457821,0.75299495458603,1.20769000053406,-0.77324104309082,-1.65180790424347
19,1851064882,-29.09445190429688,-87.44449615478516,79.40129089355469,9.76217079162598,-0.12259820103645,0.73216599225998,1.46972727775574,-0.87142091989517,-1.68964433670044
20,1851081549,-29.01652526855469,-87.45701599121094,79.33531951904297,9.79164028167725,-0.15333622694016,0.69015461206436,0.67905026674271,-0.79349416494370,-1.58751332759857
21,1851098216,-28.92230224609375,-87.46564483642578,79.24298095703125,9.77186203002930,-0.12767794728279,0.74531167745590,0.14366161823273,-0.54225283861160,-1.52337276935577
22,1851114883,-28.83714866638184,-87.47199249267578,79.17533874511719,9.75246143341064,-0.18860311806202,0.71029263734818,0.98783063888550,-0.46093255281448,-1.40728342533112
23,1851131550,-28.74807167053223,-87.47850036621094,79.10229492187500,9.78149509429932,-0.17422562837601,0.74460566043854,0.94428890943527,-0.47263750433922,-1.42781174182892
24,1851148217,-28.64361572265625,-87.48533630371094,79.03243255615234,9.76838970184326,-0.14507120847702,0.71908169984818,2.27476000785828,-0.47514116764069,-1.40896737575531
25,1851164884,-28.55607604980469,-87.49040985107422,78.97060394287109,9.76767730712891,-0.12521737813950,0.69867438077927,1.07718050479889,-0.40044817328453,-1.37645852565765
26,1851181551,-28.48069000244141,-87.49634552001953,78.91139221191406,9.80141162872314,-0.16428312659264,0.71769630908966,0.97921198606491,-0.45711633563042,-1.37607443332672
27,1851198218,-28.38174247741699,-87.50173950195312,78.82646942138672,9.78291797637939,-0.15773242712021,0.72131991386414,0.89070731401443,-0.38518303632736,-1.41432702541351
28,1851214885,-28.29275894165039,-87.50417327880859,78.75775909423828,9.74939632415771,-0.18763013184071,0.70401245355606,1.58938312530518,-0.24933317303658,-1.27632546424866
29,1851231552,-28.19519042968750,-87.50527191162109,78.69724273681641,9.76740741729736,-0.18241567909718,0.70846790075302,2.14450001716614,-0.18060155212879,-1.23669004440308
30,1851248219,-28.15910720825195,-87.50864410400391,78.72068786621094,9.75722694396973,-0.24997577071190,0.72878646850586,3.09820771217346,-0.40387380123138,-1.12213063240051
31,1851264886,-28.06355285644531,-87.50895690917969,78.71487426757812,9.77585411071777,-0.17105770111084,0.70506638288498,5.35676193237305,-0.23261456191540,-1.10070586204529
32,1851281553,-27.92983245849609,-87.50959014892578,78.65518951416016,9.78957271575928,-0.15665107965469,0.67800247669220,4.38833999633789,-0.16447837650776,-1.22625291347504
33,1851298220,-27.78544616699219,-87.51273345947266,78.57328796386719,9.77205181121826,-0.10753944516182,0.71028494834900,3.77449274063110,-0.26717251539230,-1.34408414363861
34,1851314887,-27.66120529174805,-87.51699066162109,78.48959350585938,9.75571060180664,-0.10328855365515,0.69765925407410,2.16392731666565,-0.31965288519859,-1.39067363739014
35,1851331554,-27.55570793151855,-87.51856231689453,78.41521453857422,9.79096698760986,-0.12442848086357,0.71661531925201,1.58072602748871,-0.19837674498558,-1.30124688148499
36,1851348221,-27.41673660278320,-87.51864624023438,78.30027770996094,9.79492378234863,-0.11798806488514,0.67538529634476,1.37439656257629,-0.07386702299118,-1.34731757640839
37,1851364888,-27.27197074890137,-87.52069091796875,78.16185760498047,9.74917602539062,-0.13698013126850,0.67763108015060,0.40364968776703,-0.13313479721546,-1.44399261474609
38,1851381555,-27.16678619384766,-87.52306365966797,78.06522369384766,9.78215408325195,-0.19247324764729,0.71863532066345,0.48115375638008,-0.21613277494907,-1.36624538898468
39,1851398222,-27.05858230590820,-87.52465057373047,77.96701812744141,9.81723594665527,-0.13879278302193,0.68476420640945,0.55895876884460,-0.16062363982201,-1.34275221824646
40,1851414889,-26.93545532226562,-87.52773284912109,77.84402465820312,9.78038883209229,-0.12992873787880,0.70072638988495,0.12078949809074,-0.21350106596947,-1.43667399883270
41,1851431556,-26.83661842346191,-87.53192901611328,77.73625183105469,9.75900840759277,-0.16330605745316,0.70218831300735,-0.47409746050835,-0.27618813514709,-1.42697942256927
42,1851448223,-26.70756530761719,-87.53359222412109,77.61488342285156,9.77924919128418,-0.15593267977238,0.68953269720078,0.28962841629982,-0.14205443859100,-1.40957570075989
43,1851464890,-26.57250785827637,-87.53240966796875,77.46775817871094,9.80935668945312,-0.08662753552198,0.69107127189636,-1.01398754119873,0.04446364939213,-1.39711523056030
44,1851481557,-26.39636421203613,-87.52851867675781,77.26489257812500,9.76449584960938,-0.16260357201099,0.67691391706467,-1.65568828582764,0.24900668859482,-1.45033848285675
45,1851498224,-26.21898460388184,-87.52093505859375,77.06135559082031,9.74659347534180,-0.12949725985527,0.66926085948944,-1.66814875602722,0.47309219837189,-1.34568488597870
46,1851514891,-25.99407768249512,-87.51005554199219,76.81546020507812,9.75314712524414,-0.15006873011589,0.66998153924942,-1.43600809574127,0.66954165697098,-1.38400161266327
47,1851531558,-25.78322792053223,-87.50032806396484,76.57821655273438,9.76257133483887,-0.13143682479858,0.74099910259247,-1.45489108562469,0.58749771118164,-1.39153802394867
48,1851548225,-25.59014129638672,-87.49072265625000,76.36930084228516,9.77628326416016,-0.17217299342155,0.71326351165771,-1.16927087306976,0.57027316093445,-1.33671379089355
49,1851564892,-25.35214233398438,-87.47873687744141,76.12874603271484,9.76242923736572,-0.18924096226692,0.69421553611755,-0.17205332219601,0.72476255893707,-1.35479664802551
50,1851581559,-25.15916824340820,-87.47338867187500,75.95329284667969,9.75401878356934,-0.21643204987049,0.71454340219498,1.11232125759125,0.29531443119049,-1.36767339706421
51,1851598226,-25.03166198730469,-87.47299957275391,75.85726928710938,9.78533363342285,-0.18288201093674,0.78469550609589,1.75070476531982,-0.04432918131351,-1.30218172073364
52,1851614893,-24.94148826599121,-87.47679138183594,75.79412841796875,9.78136634826660,-0.16580007970333,0.75114309787750,1.38934814929962,-0.31423583626747,-1.33558058738708
53,1851631560,-24.76227760314941,-87.47834777832031,75.66176605224609,9.75799751281738,-0.20008939504623,0.67417848110199,2.87361049652100,-0.12604008615017,-1.44035577774048
54,1851648227,-24.52012062072754,-87.47904205322266,75.48678588867188,9.77295303344727,-0.13446331024170,0.65066224336624,4.04023694992065,-0.00516736228019,-1.51179611682892
55,1851664894,-24.33471870422363,-87.47834777832031,75.35487365722656,9.75926494598389,-0.13066338002682,0.67306482791901,3.31289410591125,-0.01377963367850,-1.38658201694489
56,1851681561,-24.12731552124023,-87.47509002685547,75.19295501708984,9.80560588836670,-0.11413542926311,0.68941408395767,2.75625300407410,0.17212374508381,-1.39531588554382
57,1851698228,-23.84949874877930,-87.46564483642578,74.95263671875000,9.78383922576904,-0.13208413124084,0.65956860780716,2.27856993675232,0.60335838794708,-1.43649482727051
58,1851714895,-23.56552124023438,-87.45040130615234,74.70739746093750,9.76474952697754,-0.12915819883347,0.66971993446350,2.58473730087280,0.89884573221207,-1.31943809986115
59,1851731562,-23.36031532287598,-87.43884277343750,74.51766204833984,9.76849651336670,-0.11638531833887,0.71584129333496,1.02140235900879,0.66587251424789,-1.27078676223755
60,1851748229,-23.29338073730469,-87.43196868896484,74.42465972900391,9.77810668945312,-0.11015654355288,0.76484543085098,-1.08446085453033,0.29306051135063,-1.13366281986237
61,1851764896,-23.29698562622070,-87.42709350585938,74.38677215576172,9.78197574615479,-0.11037849634886,0.73971605300903,-2.25633168220520,0.11907343566418,-1.05688881874084
62,1851781563,-23.35615730285645,-87.42306518554688,74.38680267333984,9.77441310882568,-0.12267126142979,0.69193118810654,-3.59354519844055,0.05492643639445,-0.98582637310028
63,1851798230,-23.45401954650879,-87.42246246337891,74.40412902832031,9.77945613861084,-0.11738757789135,0.72185462713242,-4.83659315109253,-0.16723170876503,-1.02886855602264
64,1851814897,-23.55954551696777,-87.42154693603516,74.42341613769531,9.76929569244385,-0.15097075700760,0.73913842439651,-5.23610115051270,-0.12918408215046,-1.01055562496185
65,1851831564,-23.74101066589355,-87.42511749267578,74.51200866699219,9.76255321502686,-0.18082882463932,0.74083322286606,-5.35925960540771,-0.48203751444817,-0.94726669788361
66,1851848231,-23.93441772460938,-87.42839050292969,74.61495208740234,9.76252555847168,-0.11994019895792,0.71479636430740,-5.48047113418579,-0.44578260183334,-0.90267473459244
67,1851864898,-24.13808441162109,-87.43105316162109,74.73601531982422,9.76304531097412,-0.20370759069920,0.67445504665375,-4.97645187377930,-0.43877759575844,-0.84667265415192
68,1851881565,-24.33755683898926,-87.43166351318359,74.87466430664062,9.75686359405518,-0.19372463226318,0.67527025938034,-3.79619312286377,-0.35989052057266,-0.76618480682373
69,1851898232,-24.53075599670410,-87.42922210693359,75.02651977539062,9.76762199401855,-0.15304067730904,0.70094895362854,-2.50661873817444,-0.21817536652088,-0.65826559066772
70,1851914899,-24.73697090148926,-87.42785644531250,75.21752929687500,9.77243328094482,-0.20578382909298,0.72724759578705,-0.89752656221390,-0.30767893791199,-0.58064627647400
71,1851931566,-24.90209388732910,-87.42511749267578,75.38185882568359,9.79607200622559,-0.18349161744118,0.69075161218643,0.00225391751155,-0.20307667553425,-0.60970389842987
72,1851948233,-25.05035400390625,-87.42230224609375,75.53721618652344,9.74970722198486,-0.15653409063816,0.71792042255402,0.40234988927841,-0.18942512571812,-0.63474029302597
