sep=,
DeviceTag:,Xsens_DOT_3
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-04-09_10:46:58_000 CEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,1473157324,-116.01219940185547,-88.97130584716797,1.23173844814301,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,1473173991,-115.65904998779297,-88.97264099121094,0.87482023239136,9.77854824066162,-0.09352965652943,-0.18104921281338,1.09432172775269,0.89105951786041,0.40347042679787
2,1473190658,-115.35035705566406,-88.97473907470703,0.56059145927429,9.77862739562988,-0.10644137859344,-0.22073231637478,1.04141879081726,0.83135628700256,0.41344660520554
3,1473207325,-115.02651977539062,-88.97664642333984,0.24850983917713,9.78453445434570,-0.09446191787720,-0.22077855467796,1.48231589794159,0.85614937543869,0.37762722373009
4,1473223992,-114.61938476562500,-88.98048400878906,-0.15843610465527,9.78491497039795,-0.09349923580885,-0.22783696651459,1.02899658679962,0.97471058368683,0.34995275735855
5,1473240659,-114.23773193359375,-88.98394012451172,-0.53985720872879,9.77368259429932,-0.06252539157867,-0.21723777055740,0.99651968479156,0.94995576143265,0.33540472388268
6,1473257326,-113.92368316650391,-88.98741149902344,-0.85424828529358,9.78231525421143,-0.07453252375126,-0.20196363329887,1.17404139041901,0.88601374626160,0.28670212626457
7,1473273993,-113.62234497070312,-88.98876953125000,-1.15072333812714,9.79836654663086,-0.09903515875340,-0.16512258350849,1.16074836254120,0.83856618404388,0.35625344514847
8,1473290660,-113.36793518066406,-88.99147796630859,-1.40409457683563,9.77273845672607,-0.08938597887754,-0.17141242325306,1.33031725883484,0.80594843626022,0.29327180981636
9,1473307327,-113.22618103027344,-88.99419403076172,-1.54263663291931,9.76118087768555,-0.10021603852510,-0.18877373635769,0.88596248626709,0.69800370931625,0.25248357653618
