sep=,
DeviceTag:,Xsens_DOT_4
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-04-09_10:46:58_000 CEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,1473157324,-14.58785343170166,-85.07558441162109,43.45260620117188,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,1473173991,-14.58953571319580,-85.06549072265625,43.45976638793945,9.75096988677979,-0.37767463922501,0.77207577228546,0.30176883935928,0.66786396503448,-1.12982106208801
2,1473190658,-14.55885887145996,-85.05497741699219,43.43326950073242,9.76635360717773,-0.35169431567192,0.82416290044785,0.33830538392067,0.73449540138245,-1.28307461738586
3,1473207325,-14.52293872833252,-85.04785919189453,43.38424682617188,9.77617454528809,-0.34517127275467,0.82693076133728,-0.18409126996994,0.55764609575272,-1.40516400337219
4,1473223992,-14.49472332000732,-85.03671264648438,43.34709930419922,9.78049278259277,-0.30610704421997,0.80357420444489,-0.51244610548019,0.78871107101440,-1.33357644081116
5,1473240659,-14.47663402557373,-85.02536010742188,43.32556915283203,9.77467823028564,-0.35981345176697,0.78598338365555,-0.27149462699890,0.78248721361160,-1.26069557666779
6,1473257326,-14.44642257690430,-85.01508331298828,43.30329132080078,9.76628208160400,-0.34147608280182,0.78918451070786,0.53152114152908,0.72149062156677,-1.26841783523560
7,1473273993,-14.42623519897461,-85.00707244873047,43.27777862548828,9.76217842102051,-0.33282679319382,0.84926730394363,-0.31762948632240,0.58668446540833,-1.32665479183197
8,1473290660,-14.41576290130615,-85.00398254394531,43.26435089111328,9.76043605804443,-0.36506840586662,0.87133044004440,-0.02286573685706,0.29137006402016,-1.32290232181549
9,1473307327,-14.38901424407959,-85.00096130371094,43.24898529052734,9.78290176391602,-0.33479511737823,0.84164607524872,0.67794251441956,0.28880882263184,-1.34927070140839
10,1473323994,-14.37818145751953,-85.00045013427734,43.24160003662109,9.77305221557617,-0.34756612777710,0.79746216535568,0.15865145623684,0.14062012732029,-1.34709990024567
11,1473340661,-14.36710166931152,-85.00236511230469,43.22973632812500,9.75265407562256,-0.33953729271889,0.81169545650482,0.11857399344444,-0.00747250532731,-1.39109623432159
12,1473357328,-14.36120223999023,-85.00656890869141,43.22503280639648,9.76516437530518,-0.34625130891800,0.82052171230316,0.00315676513128,-0.13892327249050,-1.40591943264008
13,1473373995,-14.33575439453125,-85.01268768310547,43.20309829711914,9.76656723022461,-0.37756550312042,0.81041115522385,0.24126522243023,-0.23304995894432,-1.51401793956757
14,1473390662,-14.31988239288330,-85.01611328125000,43.19190979003906,9.79209423065186,-0.30278182029724,0.80682581663132,0.25781741738319,-0.08151882141829,-1.42233085632324
15,1473407329,-14.30203342437744,-85.01657867431641,43.17579650878906,9.79342079162598,-0.34417593479156,0.80361241102219,0.25065228343010,0.09026555716991,-1.38863098621368
16,1473423996,-14.28156948089600,-85.01846313476562,43.15667343139648,9.77795600891113,-0.34048208594322,0.81842094659805,0.03330291435122,0.00871472060680,-1.44435143470764
17,1473440663,-14.28452587127686,-85.02004241943359,43.17270278930664,9.78251838684082,-0.31581473350525,0.82547533512115,0.36400774121284,-0.00136387627572,-1.28999006748199
18,1473457330,-14.27757644653320,-85.02346801757812,43.16596984863281,9.78212165832520,-0.33793717622757,0.82327812910080,-0.05935742706060,-0.09417789429426,-1.40494620800018
19,1473473997,-14.27076148986816,-85.02830505371094,43.16035461425781,9.74848842620850,-0.36036083102226,0.80121374130249,-0.02107925340533,-0.17950661480427,-1.42306721210480
20,1473490664,-14.26644229888916,-85.03202056884766,43.16314697265625,9.77865886688232,-0.33509582281113,0.81613528728485,0.42043241858482,-0.12104562669992,-1.35331106185913
21,1473507331,-14.26038455963135,-85.03611755371094,43.16333770751953,9.77876281738281,-0.33513557910919,0.83416825532913,0.07080630213022,-0.13680383563042,-1.39888226985931
22,1473523998,-14.26232433319092,-85.03912353515625,43.16802978515625,9.77492523193359,-0.31889340281487,0.79187470674515,0.16281993687153,-0.08418254554272,-1.33391582965851
23,1473540665,-14.25399875640869,-85.03958892822266,43.15882492065430,9.78405094146729,-0.34690016508102,0.78796714544296,-0.11353470385075,0.08196064084768,-1.37177133560181
24,1473557332,-14.22974872589111,-85.03841400146484,43.13481140136719,9.76747417449951,-0.31958401203156,0.78223931789398,0.06045877560973,0.20308309793472,-1.41156065464020
25,1473573999,-14.23399448394775,-85.03730773925781,43.11513900756836,9.76887130737305,-0.33705705404282,0.82799100875854,-0.52482342720032,0.16314010322094,-1.32039237022400
26,1473590666,-14.24609756469727,-85.03852844238281,43.11855316162109,9.77300643920898,-0.33895140886307,0.85788238048553,-0.41900452971458,0.01146168261766,-1.30749630928040
27,1473607333,-14.25784397125244,-85.04156494140625,43.13955688476562,9.78203678131104,-0.33670824766159,0.84430116415024,0.44505265355110,-0.09723860770464,-1.25883853435516
28,1473624000,-14.25423622131348,-85.04413604736328,43.14998626708984,9.77073860168457,-0.31842070817947,0.79943376779556,0.64267385005951,-0.05676414817572,-1.31316936016083
29,1473640667,-14.25770950317383,-85.04437255859375,43.15383148193359,9.76566600799561,-0.30824244022369,0.77192199230194,0.17951938509941,0.07087033987045,-1.28527724742889
30,1473657334,-14.26590061187744,-85.04547882080078,43.16738510131836,9.76373004913330,-0.34521502256393,0.78130453824997,-0.08715362101793,0.02697017416358,-1.29371666908264
31,1473674001,-14.28217601776123,-85.04710388183594,43.18688964843750,9.76594448089600,-0.37196540832520,0.79533094167709,0.40585884451866,-0.02705981582403,-1.22029149532318
32,1473690668,-14.27621364593506,-85.04675292968750,43.20075607299805,9.76460361480713,-0.32459810376167,0.81859308481216,0.91002559661865,0.10150953382254,-1.26170718669891
33,1473707335,-14.28292083740234,-85.04354858398438,43.20510482788086,9.77516174316406,-0.31750163435936,0.81500786542892,-0.10511452704668,0.27690532803535,-1.23982119560242
34,1473724002,-14.27910995483398,-85.04042816162109,43.19795227050781,9.77779483795166,-0.34265935420990,0.80945771932602,0.03755462169647,0.27978673577309,-1.28269696235657
35,1473740669,-14.28062438964844,-85.04113769531250,43.20683288574219,9.77823352813721,-0.33218979835510,0.80172091722488,0.29019829630852,0.04616048559546,-1.29116165637970
36,1473757336,-14.30545234680176,-85.04686737060547,43.23052978515625,9.74344158172607,-0.33206182718277,0.84688657522202,0.06284716725349,-0.26847231388092,-1.26556193828583
37,1473774003,-14.32850456237793,-85.05291748046875,43.26202774047852,9.75482463836670,-0.35483592748642,0.80389201641083,0.32108083367348,-0.29451406002045,-1.25930595397949
38,1473790670,-14.34990978240967,-85.05874633789062,43.28553390502930,9.77419376373291,-0.33381384611130,0.82048875093460,0.23553438484669,-0.26942637562752,-1.26952540874481
