sep=,
DeviceTag:,Xsens_DOT_3
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-04-09_11:06:15_000 CEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,2629980460,-131.15679931640625,-81.90294647216797,-147.38533020019531,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,2629997127,-131.00114440917969,-81.92588806152344,-147.39381408691406,9.71427345275879,-0.95453453063965,-0.93596619367599,9.89513015747070,1.47614359855652,-0.63399136066437
2,2630013794,-130.82679748535156,-81.94246673583984,-147.43721008300781,9.70679664611816,-0.99586635828018,-0.93421667814255,9.01084995269775,1.44763648509979,-0.17116969823837
3,2630030461,-130.65466308593750,-81.95794677734375,-147.48162841796875,9.72004222869873,-0.95011430978775,-0.85573571920395,8.96785449981689,1.38340640068054,-0.12239673733711
4,2630047128,-130.51371765136719,-81.97057342529297,-147.52758789062500,9.71295928955078,-0.92792153358459,-0.87204349040985,7.35723733901978,1.24641680717468,-0.02440250664949
5,2630063795,-130.41697692871094,-81.98310852050781,-147.55337524414062,9.73183822631836,-0.91154366731644,-0.87916135787964,6.13606739044189,1.09019827842712,-0.15411162376404
6,2630080462,-130.35386657714844,-81.99619293212891,-147.55744934082031,9.73042011260986,-0.96541851758957,-0.88383436203003,4.71252584457397,1.04581141471863,-0.23404884338379
7,2630097129,-130.25703430175781,-82.00640869140625,-147.60140991210938,9.67249584197998,-1.02951300144196,-1.01650393009186,4.60391569137573,1.15866100788116,0.09362082928419
8,2630113796,-130.14662170410156,-82.01638031005859,-147.63819885253906,9.71628856658936,-0.99019074440002,-0.98692607879639,5.70154714584351,1.12295687198639,0.07448813319206
9,2630130463,-130.01913452148438,-82.02710723876953,-147.69044494628906,9.77077579498291,-0.88603299856186,-0.92521703243256,5.76702690124512,1.24518084526062,0.13154044747353
10,2630147130,-129.91831970214844,-82.04061126708984,-147.72993469238281,9.75624084472656,-0.91068089008331,-0.86920052766800,4.51672983169556,1.31920146942139,-0.03439785912633
11,2630163797,-129.83810424804688,-82.05581665039062,-147.77926635742188,9.72389602661133,-1.05841112136841,-0.91453939676285,3.15420413017273,1.40161657333374,-0.10719555616379
12,2630180464,-129.75146484375000,-82.07202148437500,-147.84101867675781,9.70791053771973,-1.06475341320038,-0.95584607124329,2.89137935638428,1.50118601322174,-0.09025275707245
13,2630197131,-129.65254211425781,-82.09346771240234,-147.90890502929688,9.73115539550781,-0.90806341171265,-0.92659735679626,2.91118407249451,1.78459680080414,-0.27792337536812
14,2630213798,-129.55705261230469,-82.11387634277344,-147.99374389648438,9.70841693878174,-0.94653654098511,-0.91720277070999,1.60980319976807,1.85107481479645,-0.12785860896111
