sep=,
DeviceTag:,Xsens_DOT_3
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-04-09_10:45:35_000 CEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,1389488984,-88.63436889648438,-89.74743652343750,-55.59988403320312,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,1389505651,-91.55361175537109,-89.74056243896484,-52.70049285888672,9.81095218658447,-0.10373967140913,-0.17980079352856,-0.24017666280270,-0.53396713733673,0.64869272708893
2,1389522318,-92.47202301025391,-89.73312377929688,-51.78942489624023,9.81992149353027,-0.09762687981129,-0.15634439885616,0.62187629938126,0.09623972326517,0.63533580303192
3,1389538985,-92.39658355712891,-89.72589111328125,-51.85685348510742,9.80541133880615,-0.09468599408865,-0.17432919144630,1.39490604400635,0.41894692182541,0.65879702568054
4,1389555652,-91.16098022460938,-89.71954345703125,-53.07064437866211,9.77605152130127,-0.09560699015856,-0.12545409798622,2.12887644767761,0.81680172681808,0.66244685649872
5,1389572319,-89.32826232910156,-89.71128845214844,-54.87475967407227,9.78118991851807,-0.09706249088049,-0.12320080399513,2.63931202888489,1.04095125198364,0.70401632785797
6,1389588986,-87.20372009277344,-89.70392608642578,-56.97654342651367,9.77481937408447,-0.08192715793848,-0.06610205769539,2.38342809677124,1.17048764228821,0.60924923419952
7,1389605653,-85.25750732421875,-89.70261383056641,-58.90610504150391,9.82124519348145,-0.10108582675457,-0.01631047576666,1.57003271579742,1.12082445621490,0.44046157598495
8,1389622320,-83.00360870361328,-89.69869232177734,-61.15750885009766,9.79649448394775,-0.11749909818172,-0.02428153157234,1.18407511711121,1.23394298553467,0.30566194653511
9,1389638987,-81.80397033691406,-89.69869232177734,-62.34317398071289,9.76996612548828,-0.06791142374277,-0.02173386514187,1.68651914596558,0.84349012374878,0.27263432741165
10,1389655654,-81.22077178955078,-89.69998931884766,-62.92718124389648,9.76847171783447,-0.04242296516895,0.01979606971145,0.78598970174789,0.61041462421417,0.19181349873543
11,1389672321,-81.38131713867188,-89.70525360107422,-62.77211761474609,9.79278182983398,-0.08833589404821,-0.00637995358557,0.26874125003815,0.32309138774872,0.08894009888172
12,1389688988,-82.18075561523438,-89.70993804931641,-61.98521041870117,9.78099822998047,-0.12644754350185,-0.04690911248326,0.24909630417824,0.08494452387094,0.00194656511303
13,1389705655,-83.41897583007812,-89.71814727783203,-60.74746322631836,9.75271797180176,-0.06461133807898,-0.03050504811108,0.56250607967377,-0.06036272644997,0.03704876825213
14,1389722322,-84.66145324707031,-89.72164154052734,-59.51251220703125,9.76761627197266,-0.04447013884783,-0.02151088602841,0.49815425276756,-0.04400902241468,0.05077718198299
