sep=,
DeviceTag:,Xsens_DOT_4
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-04-09_10:43:22_000 CEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,1256552992,-52.82500457763672,-83.57794952392578,43.17856979370117,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,1256569659,-52.63528060913086,-83.57337188720703,43.00600051879883,9.74323463439941,-0.91772556304932,1.29456233978271,1.16707479953766,0.75307101011276,-1.63561415672302
2,1256586326,-52.49823760986328,-83.57559967041016,42.85747146606445,9.68462657928467,-1.04989397525787,1.28550648689270,-0.46339777112007,0.36621674895287,-1.86172306537628
3,1256602993,-52.36764907836914,-83.58760833740234,42.74827194213867,9.71395206451416,-1.03666913509369,1.30819714069366,1.40260887145996,-0.19432352483273,-2.17552995681763
4,1256619660,-52.32636642456055,-83.60576629638672,42.71129226684570,9.77445220947266,-0.92889899015427,1.23615527153015,0.11646735668182,-0.78208374977112,-2.18426370620728
5,1256636327,-52.29430389404297,-83.62563323974609,42.69232940673828,9.78526592254639,-0.92656326293945,1.18583846092224,0.50512731075287,-0.93145704269409,-2.20985078811646
6,1256652994,-52.28455352783203,-83.64582061767578,42.68410110473633,9.73188114166260,-0.89583444595337,1.17476308345795,0.33700552582741,-1.04066967964172,-2.12944006919861
7,1256669661,-52.28740692138672,-83.66506195068359,42.69802093505859,9.68482017517090,-0.93655234575272,1.15095806121826,0.61019057035446,-1.10221695899963,-2.02382612228394
8,1256686328,-52.32847595214844,-83.68556213378906,42.75442886352539,9.70608901977539,-0.91700553894043,1.15118765830994,1.08818745613098,-1.38202273845673,-1.88431346416473
9,1256702995,-52.42369461059570,-83.70941925048828,42.86236953735352,9.72692489624023,-0.92744725942612,1.20672404766083,0.85162860155106,-1.76938939094543,-1.85163164138794
10,1256719662,-52.53043746948242,-83.73471832275391,43.00712966918945,9.78652858734131,-0.98710095882416,1.16083109378815,2.54950737953186,-2.02734756469727,-1.76111650466919
11,1256736329,-52.62158966064453,-83.75973510742188,43.12685012817383,9.76852703094482,-0.87733316421509,1.17915296554565,1.57997703552246,-1.84653508663177,-1.88688755035400
12,1256752996,-52.71136856079102,-83.78215026855469,43.23783874511719,9.78587245941162,-0.97408467531204,1.15401709079742,1.27111339569092,-1.70837974548340,-1.78583264350891
13,1256769663,-52.79332351684570,-83.80268096923828,43.34912490844727,9.77405548095703,-0.91263973712921,1.14941489696503,1.66023433208466,-1.63168263435364,-1.70878958702087
14,1256786330,-52.88303756713867,-83.82597351074219,43.47835922241211,9.73809051513672,-0.97639912366867,1.12499272823334,1.77618324756622,-1.77303922176361,-1.80380022525787
15,1256802997,-52.95936584472656,-83.84935760498047,43.58155059814453,9.69983482360840,-0.90270680189133,1.14934527873993,1.56695294380188,-1.69016933441162,-1.88213634490967
16,1256819664,-53.05730438232422,-83.87126159667969,43.70432662963867,9.74057006835938,-0.91781675815582,1.11490917205811,1.53439927101135,-1.73655390739441,-1.72478485107422
17,1256836331,-53.16208267211914,-83.89257049560547,43.83329391479492,9.80181026458740,-0.93096816539764,1.12764632701874,1.43781375885010,-1.73468399047852,-1.67848992347717
18,1256852998,-53.24990081787109,-83.91279602050781,43.95151138305664,9.78992557525635,-0.88845074176788,1.14057540893555,1.61187767982483,-1.62484419345856,-1.69396007061005
19,1256869665,-53.38305664062500,-83.93276214599609,44.10128021240234,9.71633529663086,-0.90971004962921,1.13829839229584,1.09444975852966,-1.79875445365906,-1.54118025302887
20,1256886332,-53.51646804809570,-83.95555114746094,44.26871871948242,9.68736171722412,-0.97020131349564,1.12089288234711,1.96416735649109,-1.97431635856628,-1.63283514976501
21,1256902999,-53.67792510986328,-83.97927093505859,44.47974777221680,9.72613620758057,-0.92858904600143,1.11332583427429,2.45079588890076,-2.18025517463684,-1.54449677467346
22,1256919666,-53.84578704833984,-84.00344848632812,44.67910003662109,9.76164054870605,-0.85879743099213,1.12483978271484,2.54761195182800,-2.22982883453369,-1.53389334678650
