sep=,
DeviceTag:,Xsens_DOT_3
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-04-09_11:00:30_000 CEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,2285123563,161.95669555664062,-88.29521942138672,-165.03253173828125,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,2285140230,162.54846191406250,-88.27956390380859,-165.63429260253906,9.79107284545898,0.07336881011724,-0.42102923989296,0.56080925464630,-0.58034539222717,1.06499528884888
2,2285156897,163.15187072753906,-88.26044464111328,-166.23535156250000,9.76809024810791,0.03104228526354,-0.43450748920441,1.28905534744263,-0.76508980989456,1.02853572368622
3,2285173564,163.59191894531250,-88.24431610107422,-166.67623901367188,9.78019809722900,0.04627010226250,-0.40473553538322,1.09567916393280,-0.51975852251053,0.81492561101913
4,2285190231,163.88182067871094,-88.23564147949219,-166.97825622558594,9.80000591278076,0.03476073592901,-0.50731718540192,0.41202512383461,0.01637291908264,0.71516418457031
5,2285206898,164.16929626464844,-88.23708343505859,-167.25917053222656,9.80127906799316,0.04483432695270,-0.49307429790497,1.53320801258087,0.56780153512955,0.83567184209824
6,2285223565,164.45909118652344,-88.24075317382812,-167.52812194824219,9.75612735748291,0.03930091485381,-0.50471800565720,2.39082384109497,0.71941596269608,0.85375458002090
7,2285240232,164.52600097656250,-88.24721527099609,-167.59417724609375,9.76863193511963,0.05589309334755,-0.41529676318169,1.18317222595215,0.97205948829651,0.53138023614883
8,2285256899,164.40225219726562,-88.25527191162109,-167.45620727539062,9.79812240600586,0.03549282997847,-0.37618431448936,1.98979318141937,1.18832063674927,0.19872254133224
9,2285273566,164.12358093261719,-88.26753997802734,-167.20942687988281,9.82909297943115,0.09745164215565,-0.41013681888580,-0.78057265281677,1.45936691761017,0.07182441651821
10,2285290233,163.99057006835938,-88.27342987060547,-167.08148193359375,9.76476383209229,0.06738346070051,-0.44783613085747,0.82285279035568,1.04584980010986,0.18462274968624
11,2285306900,163.81347656250000,-88.27796173095703,-166.91156005859375,9.76767730712891,0.14730115234852,-0.32912445068359,0.70073151588440,0.99918347597122,0.09360802173615
12,2285323567,163.53005981445312,-88.28479766845703,-166.66465759277344,9.78026294708252,0.01787920854986,-0.41550922393799,-1.06094205379486,1.13420081138611,-0.00978405214846
13,2285340234,163.17063903808594,-88.28366088867188,-166.30801391601562,9.77801132202148,0.02268419787288,-0.39895102381706,0.95368254184723,0.78032290935516,-0.32023561000824
14,2285356901,162.86622619628906,-88.27455902099609,-166.00920104980469,9.75414943695068,0.11801546066999,-0.33925092220306,0.79122108221054,0.26724928617477,-0.36950162053108
15,2285373568,162.44129943847656,-88.26539611816406,-165.64416503906250,9.77784824371338,0.07008306682110,-0.32335358858109,-2.47045993804932,0.31094455718994,-0.48840853571892
16,2285390235,162.00610351562500,-88.25448608398438,-165.26354980468750,9.76558303833008,0.02257155440748,-0.46017897129059,-2.15181279182434,0.22251674532890,-0.55514246225357
17,2285406902,161.64666748046875,-88.23908233642578,-164.93045043945312,9.75824356079102,0.08742039650679,-0.48220473527908,-0.45760929584503,-0.02312826551497,-0.55332392454147
18,2285423569,161.31019592285156,-88.22216033935547,-164.63009643554688,9.77229309082031,0.14505578577518,-0.40251713991165,-1.05661356449127,-0.13268658518791,-0.53635549545288
19,2285440236,160.90536499023438,-88.21195220947266,-164.28359985351562,9.84020042419434,0.09706966578960,-0.36407700181007,-2.37687158584595,0.28041425347328,-0.49820548295975
20,2285456903,160.62036132812500,-88.20452117919922,-164.02381896972656,9.84565734863281,0.09034612774849,-0.41069555282593,-0.38571444153786,0.38753935694695,-0.29399535059929
21,2285473570,160.49346923828125,-88.19171142578125,-163.90480041503906,9.78626251220703,0.16700887680054,-0.44376084208488,0.65621656179428,-0.00767100276425,-0.15361216664314
22,2285490237,160.54158020019531,-88.17083740234375,-163.96466064453125,9.73483276367188,0.12186674773693,-0.35963779687881,0.43315556645393,-0.57540208101273,0.00765179377049
23,2285506904,160.64758300781250,-88.14681243896484,-164.08583068847656,9.73680782318115,0.09667942672968,-0.41649588942528,0.22664037346840,-0.77921521663666,0.06598471850157
24,2285523571,160.88241577148438,-88.11518859863281,-164.33404541015625,9.74332618713379,0.10860419273376,-0.42138078808784,0.33479002118111,-1.31863152980804,0.15154394507408
25,2285540238,161.16812133789062,-88.07390594482422,-164.63761901855469,9.71606063842773,0.07815295457840,-0.39770135283470,0.06837949156761,-1.87458062171936,0.09736027568579
26,2285556905,161.46702575683594,-88.02573394775391,-164.97550964355469,9.76812648773193,0.11300430446863,-0.37032905220985,-1.19191253185272,-2.32747697830200,0.04749234765768
27,2285573572,161.68449401855469,-87.97560882568359,-165.23782348632812,9.78604507446289,0.13989700376987,-0.38997724652290,-1.55367910861969,-2.36119651794434,-0.09976146370173
28,2285590239,161.95024108886719,-87.92981719970703,-165.54264831542969,9.74300861358643,0.09992432594299,-0.50314480066299,-1.20035195350647,-2.17645192146301,0.08539914339781
29,2285606906,162.29566955566406,-87.88031005859375,-165.91993713378906,9.73350811004639,0.15672478079796,-0.52577602863312,-0.76338642835617,-2.43319320678711,0.20225706696510
30,2285623573,162.71527099609375,-87.83364105224609,-166.37258911132812,9.80859851837158,0.10093858838081,-0.47479063272476,-0.83327078819275,-2.31525993347168,0.45797431468964
31,2285640240,163.13525390625000,-87.79106140136719,-166.81964111328125,9.78728389739990,0.02347846329212,-0.51816302537918,-0.47790738940239,-2.11042261123657,0.55178076028824
32,2285656907,163.56446838378906,-87.74779510498047,-167.25357055664062,9.76860332489014,0.11975283175707,-0.52439689636230,0.86551070213318,-2.10579919815063,0.56029695272446
33,2285673574,163.94439697265625,-87.70569610595703,-167.65933227539062,9.76327228546143,0.07566753774881,-0.54926955699921,-0.39994230866432,-2.04229283332825,0.54779797792435
34,2285690241,164.29609680175781,-87.66393280029297,-168.02952575683594,9.76395702362061,0.08672321587801,-0.56124132871628,0.04254909232259,-2.01068639755249,0.50173354148865
35,2285706908,164.57810974121094,-87.62966918945312,-168.32514953613281,9.77207756042480,0.06024491041899,-0.58140039443970,0.33450824022293,-1.55901932716370,0.46553000807762
36,2285723575,164.82550048828125,-87.60183715820312,-168.57582092285156,9.77438259124756,0.05310197174549,-0.60705679655075,0.96030336618423,-1.11647045612335,0.48955476284027
37,2285740242,165.07977294921875,-87.57714843750000,-168.81816101074219,9.77530097961426,0.11766327172518,-0.58477830886841,1.85510861873627,-0.95220339298248,0.52591198682785
38,2285756909,165.27375793457031,-87.55904388427734,-169.00410461425781,9.79935264587402,0.10240551084280,-0.55511569976807,1.62332665920258,-0.53212946653366,0.50018405914307
39,2285773576,165.44403076171875,-87.54784393310547,-169.17222595214844,9.77787017822266,0.09195511788130,-0.59106349945068,1.26827692985535,-0.13939072191715,0.56144320964813
40,2285790243,165.66874694824219,-87.53947448730469,-169.38000488281250,9.73885822296143,0.08027579635382,-0.62184244394302,2.15655732154846,0.03153563663363,0.71554845571518
41,2285806910,165.93937683105469,-87.53026580810547,-169.63087463378906,9.75459194183350,0.08456412702799,-0.56093257665634,2.32677936553955,-0.07802908867598,0.80797183513641
42,2285823577,166.08512878417969,-87.52536010742188,-169.76840209960938,9.80650520324707,0.10751277208328,-0.51767373085022,1.63138175010681,0.26792803406715,0.59397780895233
43,2285840244,166.20184326171875,-87.52416992187500,-169.87446594238281,9.78922939300537,0.07740804553032,-0.56088948249817,1.77465903759003,0.48477795720100,0.56429255008698
44,2285856911,166.31697082519531,-87.52124786376953,-169.97602844238281,9.73656654357910,0.09710076451302,-0.58498305082321,1.95092546939850,0.40791422128677,0.53431290388107
45,2285873578,166.46472167968750,-87.51548767089844,-170.11415100097656,9.74788570404053,0.11060120910406,-0.52628397941589,1.71626186370850,0.20851935446262,0.58427041769028
46,2285890245,166.62391662597656,-87.51061248779297,-170.26594543457031,9.77870273590088,0.05870795622468,-0.53990536928177,1.58454895019531,0.26941362023354,0.63771140575409
47,2285906912,166.72441101074219,-87.51280975341797,-170.36474609375000,9.79213523864746,0.05020773783326,-0.53196847438812,1.23894393444061,0.68093281984329,0.59416985511780
48,2285923579,166.80537414550781,-87.51777648925781,-170.43733215332031,9.77972412109375,0.08586095273495,-0.58060443401337,1.63755428791046,0.88911277055740,0.57169461250305
49,2285940246,166.85949707031250,-87.52069091796875,-170.48260498046875,9.75683403015137,0.11003012210131,-0.52787172794342,1.66230893135071,0.75711780786514,0.46706676483154
50,2285956913,166.88461303710938,-87.52488708496094,-170.50318908691406,9.76564502716064,0.10610695183277,-0.54931128025055,1.40323662757874,0.87292557954788,0.42863494157791
51,2285973580,166.93522644042969,-87.52970886230469,-170.54673767089844,9.76619625091553,0.08834883570671,-0.49857032299042,1.55065035820007,0.88269686698914,0.49147567152977
52,2285990247,166.94277954101562,-87.53479003906250,-170.56225585937500,9.76524448394775,0.07614638656378,-0.50941413640976,0.66017377376556,0.90275168418884,0.42120727896690
